Alt,Time,Lat,Lon
4127.5, 2019/11/16 21:32:17.0,43.801365,-120.649666
4127.5, 2019/11/16 21:32:18.0,43.801365,-120.649666
4127.3, 2019/11/16 21:32:20.0,43.801365,-120.649666
4126.48, 2019/11/16 21:32:22.0,43.801365,-120.649666
4128.73, 2019/11/16 21:32:24.0,43.801365,-120.649666
4127.5, 2019/11/16 21:32:26.0,43.801365,-120.649666
4127.3, 2019/11/16 21:32:27.0,43.801365,-120.649666
4126.89, 2019/11/16 21:32:29.0,43.801365,-120.649666
4127.5, 2019/11/16 21:32:31.0,43.801365,-120.649666
4127.5, 2019/11/16 21:32:33.0,43.801365,-120.649666
4127.09, 2019/11/16 21:32:35.0,43.801365,-120.649666
4127.09, 2019/11/16 21:32:36.0,43.801365,-120.649666
4128.12, 2019/11/16 21:32:38.0,43.801365,-120.649666
4128.12, 2019/11/16 21:32:40.0,43.801365,-120.649666
4128.12, 2019/11/16 21:32:42.0,43.801365,-120.649666
4127.71, 2019/11/16 21:32:44.0,43.801365,-120.649666
4128.53, 2019/11/16 21:32:45.0,43.801365,-120.649666
4127.91, 2019/11/16 21:32:47.0,43.801365,-120.649666
4127.91, 2019/11/16 21:32:49.0,43.801365,-120.649666
4126.89, 2019/11/16 21:32:51.0,43.801365,-120.649666
4128.94, 2019/11/16 21:32:52.0,43.801365,-120.649666
4127.3, 2019/11/16 21:32:54.0,43.801365,-120.649666
4128.32, 2019/11/16 21:32:56.0,43.801365,-120.649666
4127.5, 2019/11/16 21:32:58.0,43.801365,-120.649666
4128.94, 2019/11/16 21:33:0.0,43.801365,-120.649666
4126.89, 2019/11/16 21:33:1.0,43.801365,-120.649666
4127.91, 2019/11/16 21:33:3.0,43.801365,-120.649666
4126.89, 2019/11/16 21:33:5.0,43.801365,-120.649666
4127.71, 2019/11/16 21:33:7.0,43.801365,-120.649666
4128.12, 2019/11/16 21:33:9.0,43.801365,-120.649666
4128.53, 2019/11/16 21:33:10.0,43.801365,-120.649666
4127.5, 2019/11/16 21:33:12.0,43.801365,-120.649666
4128.53, 2019/11/16 21:33:14.0,43.801365,-120.649666
4127.91, 2019/11/16 21:33:16.0,43.801365,-120.649666
4127.5, 2019/11/16 21:33:18.0,43.801365,-120.649666
4128.12, 2019/11/16 21:33:19.0,43.801365,-120.649666
4127.5, 2019/11/16 21:33:21.0,43.801365,-120.649666
4128.12, 2019/11/16 21:33:23.0,43.801365,-120.649666
4128.73, 2019/11/16 21:33:25.0,43.801365,-120.649666
4123.2, 2019/11/16 21:33:27.0,43.801365,-120.649666
4126.07, 2019/11/16 21:33:28.0,43.801365,-120.649666
4128.94, 2019/11/16 21:33:30.0,43.801365,-120.649666
4128.94, 2019/11/16 21:33:32.0,43.801365,-120.649666
4127.91, 2019/11/16 21:33:34.0,43.801365,-120.649666
4128.12, 2019/11/16 21:33:36.0,43.801365,-120.649666
4128.12, 2019/11/16 21:33:37.0,43.801365,-120.649666
4127.3, 2019/11/16 21:33:39.0,43.801365,-120.649666
4127.71, 2019/11/16 21:33:41.0,43.801365,-120.649666
4127.3, 2019/11/16 21:33:43.0,43.801365,-120.649666
4127.71, 2019/11/16 21:33:45.0,43.801365,-120.649666
4128.12, 2019/11/16 21:33:46.0,43.801365,-120.649666
4127.09, 2019/11/16 21:33:48.0,43.801365,-120.649666
4128.32, 2019/11/16 21:33:50.0,43.801365,-120.649666
4127.71, 2019/11/16 21:33:52.0,43.801365,-120.649666
4127.5, 2019/11/16 21:33:54.0,43.801365,-120.649666
4128.73, 2019/11/16 21:33:55.0,43.801365,-120.649666
4127.5, 2019/11/16 21:33:57.0,43.801365,-120.649666
4129.55, 2019/11/16 21:33:59.0,43.801365,-120.649666
4128.53, 2019/11/16 21:34:1.0,43.801365,-120.649666
4128.94, 2019/11/16 21:34:3.0,43.801365,-120.649666
4126.68, 2019/11/16 21:34:4.0,43.801365,-120.649666
4127.5, 2019/11/16 21:34:6.0,43.801365,-120.649666
4128.73, 2019/11/16 21:34:8.0,43.801365,-120.649666
4127.91, 2019/11/16 21:34:10.0,43.801365,-120.649666
4125.86, 2019/11/16 21:34:11.0,43.801365,-120.649666
4126.68, 2019/11/16 21:34:13.0,43.801365,-120.649666
4130.17, 2019/11/16 21:34:15.0,43.801365,-120.649666
4129.55, 2019/11/16 21:34:17.0,43.801365,-120.649666
4128.94, 2019/11/16 21:34:19.0,43.801365,-120.649666
4129.76, 2019/11/16 21:34:21.0,43.801365,-120.649666
4128.73, 2019/11/16 21:34:22.0,43.801365,-120.649666
4128.53, 2019/11/16 21:34:24.0,43.801365,-120.649666
4129.55, 2019/11/16 21:34:26.0,43.801365,-120.649666
4130.58, 2019/11/16 21:34:28.0,43.801365,-120.649666
4130.17, 2019/11/16 21:34:30.0,43.801365,-120.649666
4129.96, 2019/11/16 21:34:31.0,43.801365,-120.649666
4128.73, 2019/11/16 21:34:33.0,43.801365,-120.649666
4129.55, 2019/11/16 21:34:35.0,43.801365,-120.649666
4129.55, 2019/11/16 21:34:37.0,43.801365,-120.649666
4130.17, 2019/11/16 21:34:38.0,43.801365,-120.649666
4124.22, 2019/11/16 21:34:40.0,43.801365,-120.649666
4130.58, 2019/11/16 21:34:42.0,43.801365,-120.649666
4130.17, 2019/11/16 21:34:44.0,43.801365,-120.649666
4130.99, 2019/11/16 21:34:46.0,43.801365,-120.649666
4131.6, 2019/11/16 21:34:48.0,43.801365,-120.649666
4130.17, 2019/11/16 21:34:49.0,43.801365,-120.649666
4130.17, 2019/11/16 21:34:51.0,43.801365,-120.649666
4130.37, 2019/11/16 21:34:53.0,43.801365,-120.649666
4131.19, 2019/11/16 21:34:55.0,43.801365,-120.649666
4130.17, 2019/11/16 21:34:56.0,43.801365,-120.649666
4130.37, 2019/11/16 21:34:58.0,43.801365,-120.649666
4131.6, 2019/11/16 21:35:0.0,43.801365,-120.649666
4131.81, 2019/11/16 21:35:2.0,43.801365,-120.649666
4131.81, 2019/11/16 21:35:4.0,43.801365,-120.649666
4131.6, 2019/11/16 21:35:5.0,43.801365,-120.649666
4130.99, 2019/11/16 21:35:7.0,43.801365,-120.649666
4130.99, 2019/11/16 21:35:9.0,43.801365,-120.649666
4131.4, 2019/11/16 21:35:11.0,43.801365,-120.649666
4130.99, 2019/11/16 21:35:13.0,43.801365,-120.649666
4131.19, 2019/11/16 21:35:14.0,43.801365,-120.649666
4131.19, 2019/11/16 21:35:16.0,43.801365,-120.649666
4130.99, 2019/11/16 21:35:18.0,43.801365,-120.649666
4131.6, 2019/11/16 21:35:20.0,43.801365,-120.649666
4131.6, 2019/11/16 21:35:22.0,43.801361,-120.649666
4130.78, 2019/11/16 21:35:23.0,43.801361,-120.649666
4130.58, 2019/11/16 21:35:25.0,43.801361,-120.649666
4131.4, 2019/11/16 21:35:27.0,43.801361,-120.649666
4132.01, 2019/11/16 21:35:29.0,43.801361,-120.649666
4131.6, 2019/11/16 21:35:31.0,43.801361,-120.649666
4132.42, 2019/11/16 21:35:32.0,43.801361,-120.649666
4131.19, 2019/11/16 21:35:34.0,43.801361,-120.649666
4131.4, 2019/11/16 21:35:36.0,43.801361,-120.649666
4132.01, 2019/11/16 21:35:38.0,43.801361,-120.649666
4130.99, 2019/11/16 21:35:40.0,43.801361,-120.649666
4131.6, 2019/11/16 21:35:41.0,43.801361,-120.649666
4130.37, 2019/11/16 21:35:43.0,43.801361,-120.649666
4130.99, 2019/11/16 21:35:45.0,43.801361,-120.649666
4131.4, 2019/11/16 21:35:47.0,43.801361,-120.649666
4130.99, 2019/11/16 21:35:49.0,43.801361,-120.649666
4132.22, 2019/11/16 21:35:50.0,43.801361,-120.649666
4132.42, 2019/11/16 21:35:52.0,43.801361,-120.649666
4133.04, 2019/11/16 21:35:54.0,43.801361,-120.649666
4141.04, 2019/11/16 21:35:56.0,43.801361,-120.649666
4141.04, 2019/11/16 21:35:57.0,43.801361,-120.649666
4144.93, 2019/11/16 21:35:59.0,43.801361,-120.649666
4152.31, 2019/11/16 21:36:1.0,43.801357,-120.649666
4152.31, 2019/11/16 21:36:3.0,43.801357,-120.649666
4137.75, 2019/11/16 21:36:5.0,43.801357,-120.649666
4154.36, 2019/11/16 21:36:7.0,43.801357,-120.649666
4156, 2019/11/16 21:36:8.0,43.801357,-120.649666
4155.8, 2019/11/16 21:36:10.0,43.801357,-120.649666
4155.8, 2019/11/16 21:36:12.0,43.801357,-120.649666
4155.39, 2019/11/16 21:36:14.0,43.801357,-120.649666
4153.95, 2019/11/16 21:36:16.0,43.801357,-120.649666
4155.8, 2019/11/16 21:36:17.0,43.801357,-120.649666
4155.59, 2019/11/16 21:36:19.0,43.801357,-120.649666
4156.62, 2019/11/16 21:36:21.0,43.801357,-120.649666
4156.21, 2019/11/16 21:36:23.0,43.801357,-120.649666
4154.57, 2019/11/16 21:36:24.0,43.801357,-120.649666
4153.54, 2019/11/16 21:36:26.0,43.801353,-120.649666
4156.21, 2019/11/16 21:36:28.0,43.801353,-120.649666
4147.8, 2019/11/16 21:36:30.0,43.801353,-120.649666
4154.16, 2019/11/16 21:36:32.0,43.80135,-120.649666
4155.18, 2019/11/16 21:36:33.0,43.80135,-120.649666
4153.34, 2019/11/16 21:36:35.0,43.801338,-120.649658
4153.75, 2019/11/16 21:36:37.0,43.801334,-120.649658
4153.13, 2019/11/16 21:36:39.0,43.801327,-120.649658
4152.31, 2019/11/16 21:36:41.0,43.801281,-120.649643
4151.08, 2019/11/16 21:36:42.0,43.801273,-120.649643
4152.93, 2019/11/16 21:36:44.0,43.80117,-120.649567
4152.93, 2019/11/16 21:36:46.0,43.801098,-120.649521
4151.9, 2019/11/16 21:36:48.0,43.801056,-120.649521
